Date,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,Etref,MorP
2024-275,15.56,24.03,12.08,,6.73,97.0,16.0,2.57,0.0,,M
2024-276,14.81,22.52,7.67,,5.5,84.0,22.0,1.82,0.0,,M
2024-277,14.71,24.02,7.53,,7.43,95.0,25.0,1.57,0.0,,M
2024-278,13.39,24.13,7.62,,6.34,89.0,24.0,1.41,0.0,,M
2024-279,5.03,21.44,15.23,,9.52,75.0,43.0,0.84,0.0,,M
2024-280,10.36,25.53,13.19,,12.05,90.0,27.0,1.23,0.0,,M
2024-281,5.83,22.3,15.87,,12.67,85.0,54.0,1.41,0.0,,M
2024-282,11.49,23.98,11.73,,13.98,99.0,53.0,1.16,0.0,,M
2024-283,10.47,27.7,15.06,,14.63,92.0,31.93,2.13,0.01,,M
2024-284,13.19,27.54,14.52,,9.14,84.0,26.0,1.7,0.0,,M
2024-285,11.3,26.5,11.51,,11.52,84.0,39.0,0.97,0.0,,M
2024-286,5.84,25.05,15.57,,13.22,86.0,44.0,0.91,0.0,,M
2024-287,7.75,25.26,18.07,,13.24,82.0,39.0,1.62,0.0,,M
2024-288,11.41,28.27,13.18,,13.72,90.0,35.0,1.65,0.0,,M
2024-289,11.03,27.27,13.64,,14.64,94.0,47.0,2.4,0.0,,M
2024-290,6.58,22.96,15.42,,14.05,81.84,60.0,2.61,0.0,,M
2024-291,3.32,21.27,17.83,,16.39,97.0,69.0,3.39,3.69,,M
2024-292,8.62,22.26,16.76,,16.92,98.12,73.0,2.21,35.58,,M
2024-293,8.08,18.72,10.14,,7.61,88.3,32.92,4.0,0.61,,M
2024-294,3.73,9.63,6.38,,1.71,89.98,46.7,2.42,0.85,,M
2024-295,5.48,12.27,5.49,,5.44,92.03,62.08,1.29,0.01,,M
2024-296,12.39,21.49,10.33,,6.74,85.69,24.24,2.89,0.0,,M
2024-297,12.2,22.45,6.24,,7.73,91.67,31.8,1.17,0.0,,M
2024-298,11.98,22.82,8.16,,10.26,93.73,42.41,2.48,0.0,,M
2024-299,10.15,21.67,12.26,,9.43,82.4,38.01,2.21,0.0,,M
2024-300,6.49,20.44,8.77,,10.07,94.13,51.48,1.86,0.0,,M
2024-301,6.1,22.04,14.8,,11.13,79.8,45.57,1.9,0.0,,M
2024-302,7.79,20.38,11.09,,10.72,92.88,51.22,1.06,0.0,,M
2024-303,9.52,23.47,9.81,,11.5,93.9,45.48,1.57,0.0,,M
2024-304,3.6,20.18,12.99,,11.99,91.43,57.19,2.83,0.22,,M
2024-305,3.69,17.56,13.96,,12.83,91.8,73.04,1.09,0.82,,M
2024-306,8.72,20.01,9.06,,9.46,91.77,44.04,1.5,0.04,,M
2024-307,10.05,23.04,10.6,,11.12,91.45,42.15,1.75,0.0,,M
2024-308,8.05,23.13,9.87,,10.6,92.9,43.33,2.44,0.0,,M
2024-309,7.2,17.66,9.24,,2.37,70.65,24.95,2.57,0.0,,M
2024-310,10.06,16.64,2.88,,-0.67,75.59,23.58,1.22,0.0,,M
2024-311,9.66,18.11,3.06,,3.23,91.22,34.82,1.53,0.08,,M
2024-312,6.77,18.27,6.85,,5.22,83.36,44.11,1.5,0.0,,M
2024-313,5.46,17.4,12.54,,6.05,64.95,48.93,3.27,0.0,,M
2024-314,4.14,15.67,12.03,,7.52,77.62,56.2,2.59,0.02,,M
2024-315,7.55,20.66,10.12,,10.22,91.87,51.0,2.16,0.0,,M
2024-316,3.0,15.71,12.54,,10.2,86.05,69.55,1.39,0.0,,M
2024-317,3.11,15.59,11.42,,11.56,93.75,82.28,2.33,2.78,,M
2024-318,2.47,14.72,12.85,,12.9,95.34,93.55,2.41,5.17,,M
