time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot,Date
0.0,-1.0,0.0,82.75,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3452273508237473,4.466,0.0,0.0,2024-10-01
1.0,-1.0,0.0,81.02,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7348248761103457,3.4980000000000007,0.0,0.0,2024-10-02
2.0,-1.0,0.0,79.73,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2873805536570813,3.333,0.0,0.0,2024-10-03
3.0,-1.0,0.0,78.71,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022719783699532,3.212,0.0,0.0,2024-10-04
4.0,-1.0,0.0,78.21,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501541151592921,1.793,0.0,0.0,2024-10-05
5.0,-1.0,0.0,77.52,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690100168010143,2.728,0.0,0.0,2024-10-06
6.0,-1.0,0.0,77.03,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4903277173042693,2.145,0.0,0.0,2024-10-07
7.0,-1.0,0.0,76.53,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4944245394354503,2.3540000000000005,0.0,0.0,2024-10-08
8.0,-1.0,0.0,74.33,-999.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.209817263980362,3.3660000000000005,0.0,0.0,2024-10-09
9.0,-1.0,0.0,72.76,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5710930383702282,3.883,0.0,0.0,2024-10-10
10.0,-1.0,0.0,71.98,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7851904927327017,2.64,0.0,0.0,2024-10-11
11.0,-1.0,0.0,71.48,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4991041891648488,1.9910000000000003,0.0,0.0,2024-10-12
12.0,-1.0,0.0,70.87,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131395699974823,2.8380000000000005,0.0,0.0,2024-10-13
13.0,-1.0,0.0,70.28,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587552365917805,3.2010000000000005,0.0,0.0,2024-10-14
14.0,0.0,1.0,83.47,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6326820089695557,3.311,0.0,0.0,2024-10-15
15.0,0.0,2.0,82.03,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4385555426071561,2.519,0.0,0.0,2024-10-16
16.0,0.0,3.0,84.08,-999.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,1.639,1.639,0.0,0.0,2024-10-17
17.0,0.0,4.0,111.81,-999.0,0.0,0.0,29.703572252248403,5.8764277477515945,0.0,0.0,0.0,1.9690000000000003,1.9690000000000003,0.0,0.0,2024-10-18
18.0,0.0,5.0,89.71000000000001,-999.0,0.0,0.0,0.61,0.0,11.518370876898148,0.0,0.0,2.732610449679383,3.102,0.0,0.0,2024-10-19
19.0,0.0,6.0,85.68,-999.0,0.0,0.0,0.85,0.0,8.393230002569751,0.0,0.0,1.5053279125745542,1.551,0.0,0.0,2024-10-20
20.0,0.0,7.0,83.78,-999.0,0.0,0.0,0.01,0.0,3.2216392704115204,0.0,0.0,1.1349737189252163,1.2210000000000003,0.0,0.0,2024-10-21
21.0,0.0,8.0,84.04,-999.0,0.0,0.0,0.0,0.0,0.9223017624707035,0.0,0.0,2.43788414726182,3.5970000000000004,0.0,0.0,2024-10-22
22.0,0.0,9.0,94.32,-999.0,0.0,0.0,0.0,0.0,0.23233780558631661,0.0,0.0,1.1629951751074992,2.3540000000000005,0.0,0.0,2024-10-23
23.0,0.0,10.0,101.77000000000001,-999.0,0.0,0.0,0.0,0.0,0.055884936137909985,0.0,0.0,1.1435236401963194,2.8380000000000005,0.0,0.0,2024-10-24
24.0,0.0,11.0,106.55,-999.0,0.0,0.0,0.0,0.0,0.013282217972767083,0.0,0.0,0.9557319658487166,2.8600000000000003,0.0,0.0,2024-10-25
25.0,0.0,12.0,114.60000000000001,-999.0,0.0,0.0,0.0,0.0,0.0031505938351988018,0.0,0.0,0.5639857933111115,1.9360000000000002,0.0,0.0,2024-10-26
26.0,0.0,13.0,119.5,-999.0,0.0,0.0,0.0,0.0,0.0007472012049683911,0.0,0.0,0.5679797412357565,2.1596128498140623,0.2668645319430416,0.2668645319430416,2024-10-27
27.0,0.0,14.0,124.68,-999.0,0.0,0.0,0.0,0.0,0.00016078465601264587,0.0,0.0,0.36174448713869234,1.5346310497388076,0.1999798431355985,0.1999798431355985,2024-10-28
28.0,0.0,15.0,129.72,-999.0,0.0,0.0,0.0,0.0,3.81319294221776e-05,0.0,0.0,0.42609573562997893,1.9784528346292185,0.27193855639916964,0.27193855639916964,2024-10-29
29.0,0.0,16.0,134.36,-999.0,0.0,0.0,0.22,0.0,9.043427422141969e-06,0.0,0.0,1.0831949647546772,1.6392567479677425,0.2377146440418313,0.23771464404183126,2024-10-30
