time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
0.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,1.0,19.82,19.82,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,2.0,19.19,39.010000000000005,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,3.0,19.549999999999997,58.56,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,4.0,19.51,78.07000000000001,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,5.0,14.43,92.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,6.0,8.005,100.505,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,7.0,8.879999999999999,109.38499999999999,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,8.0,15.91,125.29499999999999,0.31429501214065503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,9.0,14.344999999999999,139.64,0.346665127763267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,10.0,15.49,155.13,0.3755580119871119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,11.0,16.965,172.095,0.4021130549386273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,12.0,14.605,186.7,0.42694236757877846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,13.0,18.42,205.12,0.4504227545269761,0.0675,0.07089058257723316,2.0679429573378343,2.1675499183044122,0.0,0.0,0.0,0.0,0.0
27.0,0.0,14.0,15.735,220.85500000000002,0.4728069623901052,0.07089058257723316,0.07089058257723316,4.2354928756422465,4.3350998366088245,0.0,0.0,0.0,0.0,0.0
28.0,0.0,15.0,16.64,237.495,0.4942749214356934,0.07445147700947427,0.07445147700947427,6.507223843231518,6.606830804198097,0.0,0.0,0.0,0.0,0.0
29.0,0.0,16.0,16.585,254.08,0.5149604655064015,0.07819123820647572,0.07819123820647572,8.88789712423828,8.98750408520486,0.0,0.0,0.0,0.0,0.0
30.0,0.0,17.0,15.76,269.84000000000003,0.5349665541690083,0.08211885079840409,0.08211885079840409,11.382466431976926,11.482073392943505,0.0,0.0,0.0,0.0,0.0
31.0,0.0,18.0,14.535,284.37500000000006,0.5543745425110247,0.08624375072106301,0.08624375072106301,13.99608308270478,14.09569004367136,0.0,0.0,0.0,0.0,0.0
32.0,0.0,19.0,16.82,301.19500000000005,0.5732501286304661,0.09034898189056213,0.09057584788536044,16.727602136480357,16.83370795158442,0.0,0.0,0.0,0.0,0.0
33.0,0.0,20.0,16.5,317.69500000000005,0.591647333453214,0.09453686952871587,0.09512554998548226,19.578806469974683,19.701688421528303,0.0,0.0,0.0,0.0,0.0
34.0,0.0,21.0,13.45,331.14500000000004,0.6096112577749204,0.09928553712471924,0.09990378750297112,22.482146456562567,22.62206156265497,0.0,0.0,0.0,0.0,0.0
35.0,0.0,22.0,9.76,340.90500000000003,0.6271800485626201,0.10427273434466455,0.10492203996678115,25.03579412623342,25.190644920379548,0.0,0.0,0.0,0.0,0.0
36.0,0.0,23.0,10.584999999999999,351.49,0.6443863364541177,0.10951044273502723,0.11019236353239786,27.901448204146792,28.073005478658803,0.0,0.0,0.0,0.0,0.0
37.0,0.0,24.0,12.559999999999999,364.05,0.6612583093351969,0.11501124568558238,0.11572741994628069,31.173213321702402,31.363779905207352,0.0,0.0,0.0,0.0,0.0
38.0,0.0,25.0,14.969999999999999,379.02,0.6778205291736723,0.12078835866050708,0.12154050696521408,34.761211967118555,34.97255070508062,0.0,0.0,0.0,0.0,0.0
39.0,0.0,26.0,13.85,392.87,0.6940945637535735,0.12685566094801679,0.12764559030364875,38.43394554487257,38.66646699491911,0.0,0.0,0.0,0.0,0.0
40.0,0.0,27.0,15.39,408.26,0.7100994823851419,0.13322772900481297,0.13405733718578494,42.363093887446375,42.61818716658562,0.0,0.0,0.0,0.0,0.0
41.0,0.0,28.0,14.125,422.385,0.7258522499423645,0.13991987147545087,0.14079115158300556,46.47368286118469,46.75229180011333,0.0,0.0,0.0,0.0,0.0
42.0,0.0,29.0,13.504999999999999,435.89,0.741368043740913,0.14694816597075996,0.14786321122131565,50.657703628981835,50.96014318822715,0.0,0.0,0.0,0.0,0.0
43.0,0.0,30.0,13.785,449.675,0.756660511053068,0.15432949769367588,0.15529050644769696,55.05159344366741,55.37894321550916,0.0,0.0,0.0,0.0,0.0
44.0,0.0,31.0,16.695,466.37,0.7717419803828091,0.16208160000528066,0.16309088104875288,59.75274343574852,60.106615554668885,0.0,0.0,0.0,0.0,0.0
