time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
0.0,0.0,0.0,0.2535477264917629,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-01
1.0,0.0,0.0,0.23619947773065952,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-02
2.0,0.0,0.0,0.22332567219408883,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-03
3.0,0.0,0.0,0.2130984743570939,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-04
4.0,0.0,0.0,0.20808306284116504,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-05
5.0,0.0,0.0,0.20118206116106374,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-06
6.0,0.0,0.0,0.19627878398802132,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-07
7.0,0.0,0.0,0.19133453859366711,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-08
8.0,0.0,0.0,0.16933636595386356,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-09
9.0,0.0,0.0,0.1536254355701614,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-10
10.0,0.0,0.0,0.14577353064283444,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-11
11.0,0.0,0.0,0.14078248875118607,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-12
12.0,0.0,0.0,0.1346510930512114,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-13
13.0,0.0,0.0,0.12877556939203358,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-14
14.0,1.0,1.0,0.2606731799103046,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-15
15.0,1.0,2.0,0.2462876244842333,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-16
16.0,1.0,3.0,0.26679762448423333,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-17
17.0,1.0,4.0,0.38611000000000006,0.4058,0.32623334700671736,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,0.287,2024-10-18
